Dataset_Type,Topic_Count_K,Topic_ID,Top_Keywords,Log_Likelihood
China_Only,10,0,"have, world, global, has, than, climate, which, countries, people, all, there, percent, now, many, change",-8.21329546187924
China_Only,10,1,"china, development, people, has, chinese, all, world, country, party, cpc, national, central, international, committee, have",-8.21329546187924
China_Only,10,2,"energy, power, china, solar, wind, renewable, has, capacity, country, coal, percent, carbon, electricity, clean, year",-8.21329546187924
China_Only,10,3,"china, cooperation, global, countries, development, international, trade, has, economic, africa, world, between, chinese, have, south",-8.21329546187924
China_Only,10,4,"china, has, development, biodiversity, environmental, conservation, ecological, green, protection, national, resources, environment, have, forest, system",-8.21329546187924
China_Only,10,5,"china, energy, year, gas, oil, hydrogen, percent, production, has, industry, company, vehicles, market, chinese, electric",-8.21329546187924
China_Only,10,6,"china, european, has, have, states, europe, united, which, germany, russia, president, government, policy, there, biden",-8.21329546187924
China_Only,10,7,"climate, china, carbon, change, emissions, global, countries, energy, world, green, has, neutrality, united, developing, nations",-8.21329546187924
China_Only,10,8,"carbon, china, emissions, green, neutrality, development, low, province, industry, xinhua, has, beijing, year, trading, steel",-8.21329546187924
China_Only,10,9,"china, green, growth, economic, market, year, development, investment, percent, economy, has, financial, carbon, global, policy",-8.21329546187924
China_Only,20,0,"carbon, steel, industry, coal, emissions, percent, year, production, million, province, city, have, has, tons, high",-8.19340849473543
China_Only,20,1,"energy, power, china, solar, wind, renewable, capacity, percent, has, clean, country, electricity, year, generation, coal",-8.19340849473543
China_Only,20,2,"world, climate, have, percent, people, than, change, year, has, which, all, global, there, now, many",-8.19340849473543
China_Only,20,3,"china, has, biodiversity, conservation, ecological, environmental, protection, development, resources, nature, green, national, forest, environment, eco",-8.19340849473543
China_Only,20,4,"china, have, has, world, there, which, countries, other, than, what, years, very, many, because, some",-8.19340849473543
China_Only,20,5,"vehicles, china, electric, market, chinese, industry, energy, percent, battery, vehicle, year, company, has, production, global",-8.19340849473543
China_Only,20,6,"european, germany, europe, games, beijing, france, president, commission, german, winter, macron, olympic, green, have, french",-8.19340849473543
China_Only,20,7,"energy, indonesia, transition, australia, have, climate, university, has, coal, asia, government, minister, need, japan, which",-8.19340849473543
China_Only,20,8,"people, development, chinese, party, china, has, country, all, cpc, central, national, committee, modernization, have, political",-8.19340849473543
China_Only,20,9,"power, nuclear, energy, project, plant, china, construction, has, station, projects, hydropower, operation, which, company, technology",-8.19340849473543
China_Only,20,10,"china, services, business, company, innovation, companies, digital, technology, development, chinese, has, market, data, trade, global",-8.19340849473543
China_Only,20,11,"global, world, countries, development, international, cooperation, china, all, has, community, economic, future, covid, shared, governance",-8.19340849473543
China_Only,20,12,"china, gas, oil, hydrogen, energy, year, production, million, tons, country, company, natural, billion, has, percent",-8.19340849473543
China_Only,20,13,"china, has, relations, states, countries, have, trade, united, chinese, taiwan, international, cooperation, other, between, world",-8.19340849473543
China_Only,20,14,"china, cooperation, countries, africa, development, trade, has, global, between, south, chinese, green, economic, have, road",-8.19340849473543
China_Only,20,15,"economic, global, growth, economy, supply, percent, year, policy, term, energy, investment, market, transition, such, demand",-8.19340849473543
China_Only,20,16,"china, year, xinhua, has, country, carbon, percent, chinese, world, development, beijing, photo, growth, province, during",-8.19340849473543
China_Only,20,17,"carbon, china, green, emissions, energy, development, low, neutrality, achieve, peak, dioxide, goals, reduction, consumption, country",-8.19340849473543
China_Only,20,18,"green, market, financial, trading, china, finance, bank, investment, yuan, billion, companies, year, carbon, bonds, have",-8.19340849473543
China_Only,20,19,"climate, change, countries, global, emissions, china, agreement, paris, carbon, developing, nations, united, action, world, cop",-8.19340849473543
China_Only,30,0,"development, carbon, green, energy, industry, low, industrial, system, technology, high, data, industries, technologies, such, efforts",-8.176705602478506
China_Only,30,1,"china, has, taiwan, rights, people, law, government, human, other, international, political, states, country, democracy, united",-8.176705602478506
China_Only,30,2,"china, kong, hong, has, biden, australia, have, states, there, united, world, administration, which, president, washington",-8.176705602478506
China_Only,30,3,"have, world, people, than, climate, all, there, which, change, percent, many, has, countries, need, even",-8.176705602478506
China_Only,30,4,"china, growth, economic, year, has, development, percent, country, economy, high, world, five, years, quality, plan",-8.176705602478506
China_Only,30,5,"carbon, emissions, china, neutrality, green, dioxide, low, emission, country, has, trading, reduction, before, peak, percent",-8.176705602478506
China_Only,30,6,"climate, change, countries, global, china, emissions, agreement, paris, has, world, cop, developing, action, united, nations",-8.176705602478506
China_Only,30,7,"africa, african, china, south, countries, development, continent, cooperation, has, kenya, brics, energy, summit, international, transition",-8.176705602478506
China_Only,30,8,"global, world, countries, development, china, international, has, all, cooperation, community, shared, future, people, common, governance",-8.176705602478506
China_Only,30,9,"indonesia, energy, power, solar, project, has, projects, renewable, plant, malaysia, clean, southeast, which, chinese, china",-8.176705602478506
China_Only,30,10,"trade, asia, digital, economic, pacific, region, asean, regional, services, economy, economies, apec, business, growth, global",-8.176705602478506
China_Only,30,11,"vehicles, china, electric, battery, vehicle, year, percent, industry, market, sales, chinese, nev, production, energy, has",-8.176705602478506
China_Only,30,12,"china, carbon, climate, development, green, president, change, global, summit, united, sustainable, neutrality, xinhua, chinese, nations",-8.176705602478506
China_Only,30,13,"nuclear, power, china, energy, plant, construction, has, units, generation, country, technology, project, operation, unit, carbon",-8.176705602478506
China_Only,30,14,"has, water, agricultural, province, city, area, rural, local, food, region, county, research, river, space, people",-8.176705602478506
China_Only,30,15,"green, financial, china, market, finance, bank, investment, yuan, billion, bonds, year, companies, financing, investors, institutions",-8.176705602478506
China_Only,30,16,"china, global, trade, chinese, solar, countries, energy, tariffs, supply, have, percent, products, exports, industry, has",-8.176705602478506
China_Only,30,17,"china, has, biodiversity, conservation, ecological, environmental, protection, development, forest, nature, green, environment, resources, national, eco",-8.176705602478506
